[22-Nov-2012 15:20:51 UTC] PHP Fatal error:  Call to a member function addMetaData() on a non-object in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/views/plugins/views_plugin_query_default.inc on line 1428
[22-Nov-2012 15:26:07 UTC] PHP Parse error:  syntax error, unexpected $end in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/slx_custom/slx_custom.module on line 148
[22-Nov-2012 15:26:09 UTC] PHP Parse error:  syntax error, unexpected $end in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/slx_custom/slx_custom.module on line 148
[22-Nov-2012 15:55:31 UTC] PHP Fatal error:  Call to undefined method view::result() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/templates/views-view-list--noticias--page.tpl.php on line 8
[23-Nov-2012 13:11:21 UTC] PHP Parse error:  syntax error, unexpected T_VARIABLE in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 43
[23-Nov-2012 13:11:22 UTC] PHP Parse error:  syntax error, unexpected T_VARIABLE in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 43
[23-Nov-2012 13:11:22 UTC] PHP Parse error:  syntax error, unexpected T_VARIABLE in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/themes/slxtheme/template.php on line 43
[30-Nov-2012 13:52:27 UTC] PHP Parse error:  syntax error, unexpected T_ELSE in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/custom/mapa/templates/mapa.tpl.php on line 2
[04-Dec-2012 08:11:06 UTC] PHP Fatal error:  Call to undefined function libraries_detect() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/mobile_switch/modules/mobile_detect_import/mobile_detect_import.install on line 49
[04-Dec-2012 08:14:21 UTC] PHP Fatal error:  Call to undefined function libraries_detect() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/mobile_switch/modules/mobile_detect_import/mobile_detect_import.install on line 49
[11-Dec-2012 14:57:40 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 523800 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/module.inc on line 2129
[12-Dec-2012 14:06:21 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 523800 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/module.inc on line 2129
[12-Dec-2012 14:08:21 UTC] PHP Fatal error:  Allowed memory size of 167772160 bytes exhausted (tried to allocate 523800 bytes) in /media/disco1/web/drupal/tanta-ciudadania_europea/includes/module.inc on line 2129
[14-Dec-2012 08:28:10 UTC] PHP Fatal error:  Call to undefined function libraries_detect() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/mobile_switch/modules/mobile_detect_import/mobile_detect_import.install on line 49
[14-Dec-2012 08:28:11 UTC] PHP Fatal error:  Call to undefined function libraries_detect() in /media/disco1/web/drupal/tanta-ciudadania_europea/sites/all/modules/mobile_switch/modules/mobile_detect_import/mobile_detect_import.install on line 49
